timestamp,container_name,cpu_percent,mem_percent,mem_rss_bytes,mem_cache_bytes,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,blk_read_bytes,blk_write_bytes,pids_count,process_count,connections_established,connections_listen,connections_time_wait,connections_close_wait,label
2026-05-05T03:57:19.086101,traffic_gen,0.0,0.3332,0,0,14399649,320835,8975,4415,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:19.086101,api,0.0008,0.1362,0,0,14555,11652,131,81,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:19.086101,redis,0.0079,0.0098,0,0,8194,126,81,3,0,0,5,0,0,0,0,0,0
2026-05-05T03:57:19.086101,fileshare,0.0,0.0014,0,0,8388,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:19.086101,postgres,0.005,0.1894,0,0,8026,126,77,3,0,0,7,0,0,0,0,0,0
2026-05-05T03:57:19.086101,dns,0.001,0.0438,0,0,8068,126,78,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:19.086101,jumpbox,0.0,0.2661,0,0,25128188,562597,15728,8331,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:19.086101,victim,0.0014,0.0441,0,0,8236,126,82,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:19.086101,db,0.0246,1.2439,0,0,16747,5795,142,46,0,0,28,0,0,0,0,0,0
2026-05-05T03:57:19.086101,webserver,0.001,0.0439,0,0,8132,126,80,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:26.238632,api,0.001,0.1346,0,0,15475,14059,142,87,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:26.238632,redis,0.0108,0.0102,0,0,8500,126,85,3,0,0,5,0,0,0,0,0,0
2026-05-05T03:57:26.238632,traffic_gen,0.0,0.3334,0,0,14402576,321533,8987,4424,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:26.238632,webserver,0.0013,0.044,0,0,8438,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:26.238632,fileshare,0.0,0.0024,0,0,8801,126,89,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:26.238632,postgres,0.021,0.1896,0,0,8332,126,81,3,0,0,7,0,0,0,0,0,0
2026-05-05T03:57:26.238632,jumpbox,0.0,0.2631,0,0,25128494,562597,15732,8331,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:26.238632,db,0.0083,1.2439,0,0,17053,5795,146,46,0,0,28,0,0,0,0,0,0
2026-05-05T03:57:26.238632,dns,0.0008,0.0446,0,0,8481,126,83,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:26.238632,victim,0.0015,0.0445,0,0,8649,126,87,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:33.391028,traffic_gen,0.0,0.3338,0,0,14403478,322507,8998,4436,0,0,1,0,0,0,0,0,0
2026-05-05T03:57:33.391028,postgres,0.0059,0.1897,0,0,8481,126,83,3,0,0,7,0,0,0,0,0,0
