timestamp,container_name,cpu_percent,mem_percent,mem_rss_bytes,mem_cache_bytes,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,blk_read_bytes,blk_write_bytes,pids_count,process_count,connections_established,connections_listen,connections_time_wait,connections_close_wait,label
2026-05-05T03:39:57.975907,traffic_gen,0.0194,0.3337,0,0,14469470,359212,9976,4995,0,0,1,0,0,0,0,0,0
2026-05-05T03:39:57.975907,api,0.312,0.1373,0,0,21140,46446,184,130,0,0,1,0,0,0,0,0,0
2026-05-05T03:39:57.975907,jumpbox,0.0,0.2629,0,0,25173614,565897,16419,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:39:57.975907,redis,0.008,0.0097,0,0,7920,126,76,3,0,0,5,0,0,0,0,0,0
2026-05-05T03:39:57.975907,postgres,0.0022,0.1881,0,0,8012,126,78,3,0,0,7,0,0,0,0,0,0
2026-05-05T03:39:57.975907,webserver,0.0011,0.0439,0,0,8414,126,85,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:39:57.975907,dns,0.0009,0.0438,0,0,8220,126,82,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:39:57.975907,fileshare,0.0,0.0014,0,0,8324,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:39:57.975907,db,0.0164,1.2432,0,0,18242,8249,154,59,0,0,28,0,0,0,0,0,0
2026-05-05T03:39:57.975907,victim,0.0009,0.0441,0,0,8026,126,79,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:05.148934,postgres,0.0044,0.189,0,0,8313,126,81,3,0,0,7,0,0,0,0,0,0
2026-05-05T03:40:05.148934,traffic_gen,0.0451,0.3352,0,0,14535251,366790,10033,5067,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:05.148934,webserver,0.0009,0.044,0,0,8715,126,88,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:05.148934,jumpbox,0.0,0.2627,0,0,25173985,565897,16423,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:05.148934,fileshare,0.0,0.0014,0,0,8695,126,88,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:05.148934,redis,0.0124,0.0098,0,0,8291,126,80,3,0,0,5,0,0,0,0,0,0
2026-05-05T03:40:05.148934,victim,0.0013,0.0448,0,0,8397,126,83,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:05.148934,dns,0.0017,0.0438,0,0,8521,126,85,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:05.148934,db,0.0627,1.2431,0,0,20265,10645,173,71,0,0,28,0,0,0,0,0,0
2026-05-05T03:40:05.148934,api,0.0017,0.1356,0,0,27885,80905,237,173,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:12.367459,traffic_gen,0.0,0.3344,0,0,14536271,367715,10042,5079,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:12.367459,postgres,0.003,0.1934,0,0,9308,1146,94,12,0,0,7,0,0,0,0,0,0
2026-05-05T03:40:12.367459,webserver,0.0012,0.044,0,0,8827,126,90,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:12.367459,fileshare,0.0,0.0014,0,0,8737,126,89,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:12.367459,dns,0.001,0.0438,0,0,8563,126,86,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:12.367459,api,0.0008,0.1356,0,0,27997,80905,239,173,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:12.367459,victim,0.0007,0.0442,0,0,8439,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:12.367459,redis,0.0091,0.009,0,0,8333,126,81,3,0,0,5,0,0,0,0,0,0
2026-05-05T03:40:12.367459,jumpbox,0.0,0.2624,0,0,25174027,565897,16424,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:12.367459,db,0.0065,1.2426,0,0,20307,10645,174,71,0,0,28,0,0,0,0,0,0
2026-05-05T03:40:19.572604,traffic_gen,0.0086,0.3336,0,0,14537680,368628,10055,5091,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:19.572604,redis,0.0123,0.0106,0,0,8704,126,85,3,0,0,5,0,0,0,0,0,0
2026-05-05T03:40:19.572604,postgres,0.0026,0.1927,0,0,10522,2184,109,21,0,0,7,0,0,0,0,0,0
2026-05-05T03:40:19.572604,api,0.0012,0.1356,0,0,28298,80905,242,173,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:19.572604,jumpbox,0.0,0.2624,0,0,25174398,565897,16428,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:19.572604,victim,0.0009,0.0441,0,0,8810,126,88,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:19.572604,dns,0.0012,0.0438,0,0,8934,126,90,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:19.572604,webserver,0.0015,0.044,0,0,9128,126,93,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:19.572604,fileshare,0.0,0.0014,0,0,9108,126,93,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:19.572604,db,0.0059,1.2426,0,0,20678,10645,178,71,0,0,28,0,0,0,0,0,0
2026-05-05T03:40:26.772379,api,0.0251,0.1371,0,0,29719,84420,257,183,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:26.772379,traffic_gen,0.0261,0.3345,0,0,14542783,370595,10072,5112,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:26.772379,postgres,0.0028,0.1927,0,0,10564,2184,110,21,0,0,7,0,0,0,0,0,0
2026-05-05T03:40:26.772379,dns,0.0009,0.0438,0,0,8976,126,91,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:26.772379,db,0.0066,1.2426,0,0,20720,10645,179,71,0,0,28,0,0,0,0,0,0
2026-05-05T03:40:26.772379,webserver,0.0011,0.044,0,0,9170,126,94,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:26.772379,victim,0.0009,0.0443,0,0,9398,1714,95,10,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:26.772379,redis,0.0089,0.009,0,0,8746,126,86,3,0,0,5,0,0,0,0,0,0
2026-05-05T03:40:26.772379,fileshare,0.0,0.0014,0,0,9150,126,94,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:26.772379,jumpbox,0.0,0.2624,0,0,25174440,565897,16429,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:33.938636,traffic_gen,0.0,0.3329,0,0,14542825,370637,10073,5113,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:33.938636,db,0.0061,1.2433,0,0,20762,10645,180,71,0,0,28,0,0,0,0,0,0
2026-05-05T03:40:33.938636,victim,0.0016,0.0443,0,0,9482,1756,97,11,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:33.938636,dns,0.001,0.0443,0,0,9018,126,92,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:33.938636,api,0.0007,0.1357,0,0,29761,84420,258,183,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:33.938636,jumpbox,0.0,0.2624,0,0,25174482,565897,16430,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:33.938636,redis,0.0089,0.0106,0,0,9400,683,94,9,0,0,5,0,0,0,0,0,0
2026-05-05T03:40:33.938636,postgres,0.0022,0.1919,0,0,10606,2184,111,21,0,0,7,0,0,0,0,0,0
2026-05-05T03:40:33.938636,fileshare,0.0,0.0025,0,0,9192,126,95,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:33.938636,webserver,0.0017,0.044,0,0,9212,126,95,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:41.121353,traffic_gen,0.0,0.333,0,0,14543424,371333,10080,5122,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:41.121353,fileshare,0.0,0.0023,0,0,9192,126,95,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:41.121353,postgres,0.0426,0.193,0,0,11530,3165,123,29,0,0,7,0,0,0,0,0,0
2026-05-05T03:40:41.121353,webserver,0.0022,0.044,0,0,9282,126,96,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:41.121353,dns,0.0009,0.0438,0,0,9018,126,92,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:41.121353,redis,0.011,0.0098,0,0,9442,725,95,10,0,0,5,0,0,0,0,0,0
2026-05-05T03:40:41.121353,jumpbox,0.0,0.2624,0,0,25174482,565897,16430,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:41.121353,victim,0.0008,0.0443,0,0,9482,1756,97,11,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:41.121353,api,0.0018,0.1365,0,0,29761,84420,258,183,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:41.121353,db,0.0058,1.2426,0,0,20762,10645,180,71,0,0,28,0,0,0,0,0,0
2026-05-05T03:40:48.288148,api,0.001,0.1357,0,0,29918,84420,260,183,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:48.288148,db,0.0052,1.2426,0,0,20849,10645,181,71,0,0,28,0,0,0,0,0,0
2026-05-05T03:40:48.288148,postgres,0.0378,0.1941,0,0,12500,4143,135,37,0,0,7,0,0,0,0,0,0
2026-05-05T03:40:48.288148,redis,0.0098,0.0098,0,0,9599,725,97,10,0,0,5,0,0,0,0,0,0
2026-05-05T03:40:48.288148,fileshare,0.0,0.0014,0,0,9279,126,96,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:48.288148,webserver,0.0006,0.044,0,0,9369,126,97,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:48.288148,victim,0.0005,0.0443,0,0,9569,1756,98,11,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:48.288148,jumpbox,0.0,0.2624,0,0,25174569,565897,16431,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:48.288148,traffic_gen,0.0088,0.3346,0,0,14545540,373070,10098,5144,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:48.288148,dns,0.0006,0.0438,0,0,9175,126,94,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:55.454632,traffic_gen,0.0,0.3331,0,0,14546567,373988,10109,5155,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:55.454632,fileshare,0.0,0.0014,0,0,9535,126,99,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:55.454632,api,0.002,0.1357,0,0,30174,84420,263,183,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:55.454632,victim,0.0015,0.0443,0,0,9825,1756,101,11,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:55.454632,postgres,0.007,0.1928,0,0,12756,4143,138,37,0,0,7,0,0,0,0,0,0
2026-05-05T03:40:55.454632,dns,0.001,0.0438,0,0,9431,126,97,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:55.454632,db,0.0082,1.2435,0,0,21981,11458,194,80,0,0,29,0,0,0,0,0,0
2026-05-05T03:40:55.454632,webserver,0.0019,0.044,0,0,9625,126,100,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:40:55.454632,redis,0.0207,0.0098,0,0,9855,725,100,10,0,0,5,0,0,0,0,0,0
2026-05-05T03:40:55.454632,jumpbox,0.0,0.2624,0,0,25174895,565897,16435,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:41:02.664945,traffic_gen,0.0,0.3331,0,0,14546747,374188,10113,5159,0,0,1,0,0,0,0,0,0
2026-05-05T03:41:02.664945,api,0.0009,0.136,0,0,30216,84420,264,183,0,0,1,0,0,0,0,0,0
2026-05-05T03:41:02.664945,victim,0.0009,0.0443,0,0,9937,1756,103,11,0,0,1,0,0,0,0,0,0
2026-05-05T03:41:02.664945,dns,0.0016,0.0438,0,0,9473,126,98,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:41:02.664945,db,0.0079,1.243,0,0,22135,11500,197,81,0,0,29,0,0,0,0,0,0
2026-05-05T03:41:02.664945,postgres,0.0024,0.1928,0,0,12798,4143,139,37,0,0,7,0,0,0,0,0,0
2026-05-05T03:41:02.664945,webserver,0.002,0.044,0,0,9667,126,101,3,0,0,1,0,0,0,0,0,0
2026-05-05T03:41:02.664945,jumpbox,0.0,0.2624,0,0,25174937,565897,16436,8397,0,0,1,0,0,0,0,0,0
2026-05-05T03:41:02.664945,fileshare,0.0,0.0014,0,0,9763,264,103,6,0,0,1,0,0,0,0,0,0
