timestamp,container_name,cpu_percent,mem_percent,mem_rss_bytes,mem_cache_bytes,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,blk_read_bytes,blk_write_bytes,pids_count,process_count,connections_established,connections_listen,connections_time_wait,connections_close_wait,label
2026-05-05T05:38:10.029353,traffic_gen,0.0,0.3356,0,0,14908193,430412,10429,5427,0,0,1,0,0,0,0,0,1
2026-05-05T05:38:10.029353,api,0.0013,0.2255,0,0,174294,529902,1311,1887,0,0,3,0,0,0,0,0,1
2026-05-05T05:38:10.029353,db,0.0036,1.244,0,0,105059,70279,1305,380,0,0,30,0,0,0,0,0,1
2026-05-05T05:38:10.029353,postgres,0.0,0.1912,0,0,52394,9328,961,96,0,0,7,0,0,0,0,0,1
2026-05-05T05:38:10.029353,jumpbox,0.0,0.2641,0,0,25281834,661959,17737,9111,0,0,1,0,0,0,0,0,1
2026-05-05T05:38:10.029353,webserver,0.0007,0.0442,0,0,50108,11216,921,82,0,0,2,0,0,0,0,0,1
2026-05-05T05:38:10.029353,redis,0.0052,0.0104,0,0,54833,9083,984,107,0,0,5,0,0,0,0,0,1
2026-05-05T05:38:10.029353,victim,0.0006,0.0459,0,0,50467,12196,925,82,0,0,1,0,0,0,0,0,1
2026-05-05T05:38:10.029353,fileshare,0.0,0.0027,0,0,45929,1506,875,29,0,0,1,0,0,0,0,0,1
2026-05-05T05:38:10.029353,dns,0.0007,0.0439,0,0,47174,2850,886,45,0,0,2,0,0,0,0,0,1
2026-05-05T05:38:15.208454,db,0.0032,1.2456,0,0,126131,71903,1785,406,0,0,30,0,0,0,0,0,1
2026-05-05T05:38:15.208454,api,0.895,0.3171,0,0,189727,578021,1572,2761,0,0,483,0,0,0,0,0,1
2026-05-05T05:38:15.208454,postgres,0.0095,0.1912,0,0,79472,10928,1584,124,0,0,7,0,0,0,0,0,1
2026-05-05T05:38:15.208454,redis,0.0046,0.0108,0,0,81911,10617,1607,134,0,0,5,0,0,0,0,0,1
2026-05-05T05:38:15.208454,webserver,0.0004,0.0442,0,0,77186,12684,1544,108,0,0,2,0,0,0,0,0,1
2026-05-05T05:38:15.208454,fileshare,0.0,0.0022,0,0,72611,2802,1492,53,0,0,1,0,0,0,0,0,1
2026-05-05T05:38:15.208454,traffic_gen,0.0,0.335,0,0,14938474,433171,11058,5467,0,0,1,0,0,0,0,0,1
