timestamp,container_name,cpu_percent,mem_percent,mem_rss_bytes,mem_cache_bytes,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,blk_read_bytes,blk_write_bytes,pids_count,process_count,connections_established,connections_listen,connections_time_wait,connections_close_wait,label
2026-05-05T03:45:00.147240,traffic_gen,0.0,0.3352,0,0,14809479,439491,10621,5748,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:00.147240,api,0.0007,0.1358,0,0,75438,308178,642,493,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:00.147240,webserver,0.0007,0.044,0,0,11707,3518,126,19,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:00.147240,db,0.003,1.2433,0,0,38518,30876,366,213,0,0,29,0,0,0,0,0,1
2026-05-05T03:45:00.147240,fileshare,0.0,0.0014,0,0,10937,552,119,12,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:00.147240,redis,0.0123,0.009,0,0,13119,2596,141,31,0,0,5,0,0,0,0,0,1
2026-05-05T03:45:00.147240,postgres,0.003,0.1924,0,0,16404,7410,187,66,0,0,7,0,0,0,0,0,1
2026-05-05T03:45:00.147240,victim,0.0016,0.0444,0,0,11749,3610,127,23,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:00.147240,dns,0.0005,0.0438,0,0,10299,126,108,3,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:00.147240,jumpbox,0.0,0.2633,0,0,25198097,598873,16577,8545,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:07.314547,db,0.0049,1.2432,0,0,39538,32158,377,221,0,0,29,0,0,0,0,0,1
2026-05-05T03:45:07.314547,traffic_gen,0.0,0.336,0,0,14814756,443552,10651,5782,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:07.314547,victim,0.0007,0.0443,0,0,11749,3610,127,23,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:07.314547,api,0.013,0.1368,0,0,78863,313095,671,519,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:07.314547,jumpbox,0.0,0.2625,0,0,25201053,602908,16595,8562,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:07.314547,redis,0.0098,0.009,0,0,13119,2596,141,31,0,0,5,0,0,0,0,0,1
2026-05-05T03:45:07.314547,webserver,0.0009,0.044,0,0,11707,3518,126,19,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:07.314547,postgres,0.0004,0.1924,0,0,17425,8568,201,77,0,0,7,0,0,0,0,0,1
2026-05-05T03:45:07.314547,fileshare,0.0,0.0014,0,0,10937,552,119,12,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:07.314547,dns,0.001,0.0445,0,0,10299,126,108,3,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:14.489378,api,0.0009,0.1358,0,0,78863,313095,671,519,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:14.489378,db,0.0055,1.2432,0,0,39538,32158,377,221,0,0,29,0,0,0,0,0,1
2026-05-05T03:45:14.489378,traffic_gen,0.0,0.3346,0,0,14821222,446876,10674,5804,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:14.489378,dns,0.0011,0.0438,0,0,10299,126,108,3,0,0,1,0,0,0,0,0,1
2026-05-05T03:45:14.489378,fileshare,0.0,0.0018,0,0,10937,552,119,12,0,0,1,0,0,0,0,0,1
