timestamp,container_name,cpu_percent,mem_percent,mem_rss_bytes,mem_cache_bytes,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,blk_read_bytes,blk_write_bytes,pids_count,process_count,connections_established,connections_listen,connections_time_wait,connections_close_wait,label
2026-05-05T10:45:19.128041,api,0.0,0.1305,0,0,4379,580,35,10,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:19.128041,db,7.0634,1.0125,0,0,6099,534,52,11,0,0,33,0,0,0,0,0,0
2026-05-05T10:45:19.128041,dns,0.0035,0.0438,0,0,8623,126,71,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:19.128041,webserver,0.0024,0.0439,0,0,8319,126,67,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:19.128041,traffic_gen,6.2924,0.1011,0,0,3718,126,25,3,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:19.128041,victim,0.0038,0.0441,0,0,9637,126,83,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:19.128041,redis,0.0513,0.0098,0,0,9016,126,77,3,0,0,5,0,0,0,0,0,0
2026-05-05T10:45:19.128041,postgres,0.0112,0.1889,0,0,8749,126,74,3,0,0,7,0,0,0,0,0,0
2026-05-05T10:45:19.128041,jumpbox,6.4345,0.1788,0,0,10117408,25446,1088,360,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:19.128041,fileshare,0.0,0.0013,0,0,6502,126,53,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:28.327477,traffic_gen,6.4136,0.1249,0,0,3991,126,27,3,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:28.327477,redis,0.0425,0.009,0,0,9422,126,79,3,0,0,5,0,0,0,0,0,0
2026-05-05T10:45:28.327477,db,8.4718,1.033,0,0,6797,696,58,14,0,0,33,0,0,0,0,0,0
2026-05-05T10:45:28.327477,dns,0.0045,0.0438,0,0,9029,126,73,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:28.327477,postgres,0.0227,0.1886,0,0,9155,126,76,3,0,0,7,0,0,0,0,0,0
2026-05-05T10:45:28.327477,fileshare,0.0,0.0014,0,0,6908,126,55,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:28.327477,webserver,0.0024,0.044,0,0,8725,126,69,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:28.327477,api,0.0464,0.1308,0,0,5071,876,42,14,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:28.327477,victim,0.0024,0.0441,0,0,9840,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:28.327477,jumpbox,6.661,0.1196,0,0,10117814,25446,1090,360,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:36.683485,traffic_gen,6.3803,0.1453,0,0,4194,126,28,3,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:36.683485,dns,0.003,0.0438,0,0,9029,126,73,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:36.683485,fileshare,0.0,0.0014,0,0,6908,126,55,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:36.683485,api,0.0036,0.1316,0,0,5125,950,43,15,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:36.683485,db,7.4007,1.2481,0,0,6871,750,59,15,0,0,30,0,0,0,0,0,0
2026-05-05T10:45:36.683485,redis,0.0354,0.009,0,0,9422,126,79,3,0,0,5,0,0,0,0,0,0
2026-05-05T10:45:36.683485,victim,0.0024,0.0441,0,0,9840,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:36.683485,postgres,0.0105,0.1883,0,0,9155,126,76,3,0,0,7,0,0,0,0,0,0
2026-05-05T10:45:36.683485,jumpbox,6.6622,0.2214,0,0,10117814,25446,1090,360,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:36.683485,webserver,0.0034,0.044,0,0,8725,126,69,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:44.978497,traffic_gen,5.8113,0.1633,0,0,221019,12947,165,97,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:44.978497,victim,0.0025,0.0441,0,0,9882,126,85,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:44.978497,fileshare,0.0,0.0014,0,0,6950,126,56,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:44.978497,postgres,0.0098,0.189,0,0,9197,126,77,3,0,0,7,0,0,0,0,0,0
2026-05-05T10:45:44.978497,webserver,0.0022,0.044,0,0,8767,126,70,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:44.978497,dns,0.0034,0.0438,0,0,9071,126,74,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:44.978497,redis,0.0408,0.0118,0,0,9464,126,80,3,0,0,5,0,0,0,0,0,0
2026-05-05T10:45:44.978497,api,0.0047,0.1309,0,0,5167,950,44,15,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:44.978497,jumpbox,6.6276,0.2744,0,0,10117926,25446,1092,360,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:44.978497,db,0.0358,1.2125,0,0,6913,750,60,15,0,0,27,0,0,0,0,0,0
2026-05-05T10:45:53.585538,traffic_gen,6.5614,0.1772,0,0,957841,20535,318,172,0,0,2,0,0,0,0,0,0
2026-05-05T10:45:53.585538,db,0.0187,1.2116,0,0,7299,750,62,15,0,0,27,0,0,0,0,0,0
2026-05-05T10:45:53.585538,dns,0.0033,0.0438,0,0,9730,126,78,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:53.585538,redis,0.0472,0.0106,0,0,10053,126,83,3,0,0,5,0,0,0,0,0,0
2026-05-05T10:45:53.585538,webserver,0.0025,0.044,0,0,9426,126,74,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:53.585538,api,0.0035,0.1308,0,0,5623,950,47,15,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:53.585538,postgres,0.0134,0.1883,0,0,9856,126,81,3,0,0,7,0,0,0,0,0,0
2026-05-05T10:45:53.585538,fileshare,0.0,0.0014,0,0,7406,126,59,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:53.585538,victim,0.0039,0.0441,0,0,10541,126,89,3,0,0,1,0,0,0,0,0,0
2026-05-05T10:45:53.585538,jumpbox,6.6381,0.3798,0,0,24239237,63183,2248,798,0,0,6,0,0,0,0,0,0
